,e1,r,e2,0,1,2
363,deny-by-default,is_part_of,firewall,deny-by-default,is_part_of,firewall
364,firewall,has_a,policy,firewall,has_a,policy
365,responses,is_part_of,firewall,responses,is_part_of,firewall
366,ACK scan,can_analyze,TCP packets,ACK scan,can_analyze,TCP packets
367,RFC 793,can_analyze,RST packet,RFC 793,can_analyze,RST packet
368,stateless,is_part_of,firewall,stateless,is_part_of,firewall
369,firewall,has_a,policies,firewall,has_a,policies
370,policies,can_analyze,setup,policies,can_analyze,setup
371,port,can_analyze,machine,port,can_analyze,machine
372,machine,uses,network traffic,machine,uses,network traffic
373,machine,has_a,IP ID,machine,has_a,IP ID
374,Windows XP,has_a,Nping,Windows XP,has_a,Nping
375,Nping,can_analyze,SYN packets,Nping,can_analyze,SYN packets
376,flooding,can_harm,host,flooding,can_harm,host
377,address,is_part_of,nping,address,is_part_of,nping
378,nping,can_analyze,node,nping,can_analyze,node
379,addresses,is_part_of,firewall,addresses,is_part_of,firewall
380,source,has_a,address,source,has_a,address
381,netblocks,has_a,firewall,netblocks,has_a,firewall
382,firewall,has_a,blocked,firewall,has_a,blocked
383,UDP,can_analyze,applications,UDP,can_analyze,applications
384,applications,uses,packets,applications,uses,packets
385,scanner,has_a,port,scanner,has_a,port
386,Nmap,uses,port scanning,Nmap,uses,port scanning
387,Nmap,can_analyze,source,Nmap,can_analyze,source
388,source,has_a,port,source,has_a,port
389,port,can_analyze,source,port,can_analyze,source
390,source,has_a,ports,source,has_a,ports
391,ports,can_analyze,transmitted packets,ports,can_analyze,transmitted packets
392,intrusion detection systems,is_part_of,intrusion prevention systems,intrusion detection systems,is_part_of,intrusion prevention systems
393,network,has_a,IDS,network,has_a,IDS
394,IDS,has_a,triggered packet responses,IDS,has_a,triggered packet responses
395,IPS systems,can_analyze,network,IPS systems,can_analyze,network
396,network,has_a,packet flow,network,has_a,packet flow
397,packet flow,can_analyze,suspicious activity,packet flow,can_analyze,suspicious activity
398,IPS,has_a,block,IPS,has_a,block
399,block,can_analyze,traffic,block,can_analyze,traffic
400,port scanned,can_detect,buffer overflow exploit,port scanned,can_detect,buffer overflow exploit
401,Attackers,uses,port scan,Attackers,uses,port scan
402,system,has_a,open ports,system,has_a,open ports
403,Attackers,uses,blocked,Attackers,uses,blocked
404,IDS,has_a,flagged,IDS,has_a,flagged
405,IDSs,can_analyze,network,IDSs,can_analyze,network
406,network,can_expose,forge,network,can_expose,forge
407,packets,can_expose,forged,packets,can_expose,forged
408,scanning,can_detect,Packet Forgery,scanning,can_detect,Packet Forgery
409,Firewall,is_part_of,Intrusion Detection Systems,Firewall,is_part_of,Intrusion Detection Systems
410,system,uses,packets,system,uses,packets
411,icmp-host-prohibited,can_analyze,ICMP error message,icmp-host-prohibited,can_analyze,ICMP error message
412,rules,has_a,TCP protocol,rules,has_a,TCP protocol
413,broken,can_analyze,mail hosts,broken,can_analyze,mail hosts
414,Forging,can_harm,RST packets,Forging,can_harm,RST packets
415,firewalls,is_part_of,IDS,firewalls,is_part_of,IDS
416,IDS,is_part_of,IPS,IDS,is_part_of,IPS
417,IPS,has_a,port 113,IPS,has_a,port 113
418,network operators,uses,scanners,network operators,uses,scanners
419,scanners,has_a,port,scanners,has_a,port
420,timeout,can_analyze,dropped packets,timeout,can_analyze,dropped packets
421,detect,has_a,IDSs,detect,has_a,IDSs
422,IDSs,can_analyze,suspicious,IDSs,can_analyze,suspicious
423,machines,has_a,traceroutes,machines,has_a,traceroutes
424,operating systems,has_a,traceroute,operating systems,has_a,traceroute
425,traceroute,has_a,command,traceroute,has_a,command
426,Nmap,is_part_of,traceroute,Nmap,is_part_of,traceroute
427,inline,is_part_of,IDSs,inline,is_part_of,IDSs
428,IDSs,has_a,passively,IDSs,has_a,passively
429,Nmap,has_a,ping,Nmap,has_a,ping
430,commands,can_analyze,information,commands,can_analyze,information
431,detected,has_a,IDS,detected,has_a,IDS
432,IDS,is_part_of,snort,IDS,is_part_of,snort
433,snort,uses,detect,snort,uses,detect
434,slow down,can_analyze,DNS proxying,slow down,can_analyze,DNS proxying
435,deploy,can_analyze,testing environment,deploy,can_analyze,testing environment
436,snort,has_a,rules,snort,has_a,rules
437,Nmap,uses,scanning,Nmap,uses,scanning
438,Nmap,has_a,timing modes,Nmap,has_a,timing modes
439,paranoid option,is_part_of,Nmap,paranoid option,is_part_of,Nmap
440,Nmap,uses,probe,Nmap,uses,probe
441,IP fragments,is_part_of,intrusion detection systems,IP fragments,is_part_of,intrusion detection systems
442,fragmentation assembly timeouts,can_analyze,platforms,fragmentation assembly timeouts,can_analyze,platforms
443,IDS,can_analyze,remote system,IDS,can_analyze,remote system
444,remote system,uses,packet,remote system,uses,packet
445,Nmap,can_analyze,bytes,Nmap,can_analyze,bytes
446,fragment,can_analyze,byte,fragment,can_analyze,byte
447,Fragmentation,has_a,Nmap�s,Fragmentation,has_a,Nmap�s
448,Nmap,can_analyze,raw packet,Nmap,can_analyze,raw packet
449,version detection,has_a,Nmap Scripting Engine,version detection,has_a,Nmap Scripting Engine
450,Nmap Scripting Engine,uses,fragmentation,Nmap Scripting Engine,uses,fragmentation
451,host,has_a,TCP stack,host,has_a,TCP stack
452,TCP stack,can_analyze,target services,TCP stack,can_analyze,target services
453,source,has_a,IP,source,has_a,IP
454,IP,is_part_of,Nmap,IP,is_part_of,Nmap
455,Nmap,uses,port scan,Nmap,uses,port scan
456,target,can_expose,spoofed,target,can_expose,spoofed
457,Nmap,has_a,responses,Nmap,has_a,responses
458,IDS,has_a,alarms,IDS,has_a,alarms
459,alarms,can_analyze,target,alarms,can_analyze,target
460,administrators,uses,IDS,administrators,uses,IDS
461,IDS,has_a,accuracy,IDS,has_a,accuracy
462,idle scan,can_analyze,spoofing,idle scan,can_analyze,spoofing
463,source,has_a,IP address,source,has_a,IP address
464,IP identification field,can_analyze,systems,IP identification field,can_analyze,systems
465,Nmap,has_a,reverse-DNS resolution,Nmap,has_a,reverse-DNS resolution
466,reverse-DNS resolution,has_a,responsive,reverse-DNS resolution,has_a,responsive
467,responsive,can_analyze,host,responsive,can_analyze,host
468,configured,can_analyze,machine,configured,can_analyze,machine
469,machine,has_a,Nmap,machine,has_a,Nmap
470,dns servers,has_a,Nmap,dns servers,has_a,Nmap
471,Nmap,has_a,DNS queries,Nmap,has_a,DNS queries
472,DNS queries,can_analyze,proxied,DNS queries,can_analyze,proxied
473,scanning,can_analyze,vulnerabilities,scanning,can_analyze,vulnerabilities
474,Metasploit Framework msf,has_a,deploy,Metasploit Framework msf,has_a,deploy
475,Metasploit Framework MSF,is_part_of,command-line CLI,Metasploit Framework MSF,is_part_of,command-line CLI
476,command-line CLI,uses,penetration testing,command-line CLI,uses,penetration testing
477,Metasploit,uses,discover,Metasploit,uses,discover
478,identify,can_analyze,system vulnerabilities,identify,can_analyze,system vulnerabilities
479,Metasploit Framework,can_analyze,vulnerability,Metasploit Framework,can_analyze,vulnerability
480,Metasploit Framework,can_analyze,vulnerable,Metasploit Framework,can_analyze,vulnerable
481,Metasploit,uses,computer security,Metasploit,uses,computer security
482,information,can_expose,security vulnerabilities,information,can_expose,security vulnerabilities
483,open-source,is_part_of,Metasploit Framework,open-source,is_part_of,Metasploit Framework
484,Metasploit Framework,is_part_of,tool,Metasploit Framework,is_part_of,tool
485,tool,has_a,exploit code,tool,has_a,exploit code
486,exploit code,can_analyze,remote target machine,exploit code,can_analyze,remote target machine
487,Metasploit,uses,anti-forensic,Metasploit,uses,anti-forensic
488,evasion,has_a,tools,evasion,has_a,tools
489,tools,is_part_of,Metasploit Framework,tools,is_part_of,Metasploit Framework
490,Metasploit,can_analyze,Kali Linux operating system,Metasploit,can_analyze,Kali Linux operating system
491,command-line,has_a,version,command-line,has_a,version
492,version,is_part_of,msfconsole,version,is_part_of,msfconsole
493,msfconsole,can_analyze,Ubuntu Linux,msfconsole,can_analyze,Ubuntu Linux
494,Metasploit framework,has_a,exploits,Metasploit framework,has_a,exploits
495,exploits,can_analyze,payloads,exploits,can_analyze,payloads
496,Ruby,has_a,classes,Ruby,has_a,classes
497,plugins,has_a,scripts,plugins,has_a,scripts
498,scripts,can_analyze,user interfaces,scripts,can_analyze,user interfaces
499,Metasploit framework,can_analyze,information-,Metasploit framework,can_analyze,information-
500,tools,is_part_of,auxiliary modules,tools,is_part_of,auxiliary modules
501,Auxiliary modules,uses,port scanning,Auxiliary modules,uses,port scanning
502,modules,is_part_of,plugins,modules,is_part_of,plugins
503,Metasploit,can_analyze,information,Metasploit,can_analyze,information
504,module,has_a,default,module,has_a,default
505,msfconsole,can_analyze,user interface,msfconsole,can_analyze,user interface
506,graphical user interface,has_a,Metasploit,graphical user interface,has_a,Metasploit
507,Metasploit,can_analyze,Armitage,Metasploit,can_analyze,Armitage
508,Kali Linux,has_a,rolling edition,Kali Linux,has_a,rolling edition
509,rolling edition,is_part_of,Metasploit framework,rolling edition,is_part_of,Metasploit framework
510,Metasploit framework,is_part_of,msfconsole,Metasploit framework,is_part_of,msfconsole
511,msfconsole,is_part_of,Metasploit,msfconsole,is_part_of,Metasploit
512,Metasploit,can_analyze,dock,Metasploit,can_analyze,dock
513,Metasploit,has_a,installed,Metasploit,has_a,installed
514,installed,can_analyze,system,installed,can_analyze,system
515,Metasploit,has_a,module,Metasploit,has_a,module
516,msfconsole,has_a,module,msfconsole,has_a,module
517,command line,has_a,exploit,command line,has_a,exploit
518,exploit,can_analyze,realvnc_client,exploit,can_analyze,realvnc_client
519,exploit parameters,can_analyze,target,exploit parameters,can_analyze,target
520,msfconsole,has_a,back command,msfconsole,has_a,back command
521,msfconsole,can_analyze,Linux terminal,msfconsole,can_analyze,Linux terminal
522,use command,can_analyze,information,use command,can_analyze,information
523,name,can_analyze,platform,name,can_analyze,platform
524,author,uses,targets,author,uses,targets
525,exploit,can_analyze,ie_execcommand_ua,exploit,can_analyze,ie_execcommand_ua
526,Metasploit,uses,exploits,Metasploit,uses,exploits
527,exploits,has_a,Flash player,exploits,has_a,Flash player
528,module,has_a,names,module,has_a,names
529,exploits,can_analyze,vulnerable,exploits,can_analyze,vulnerable
530,OSVDB ID,can_analyze,platform,OSVDB ID,can_analyze,platform
531,targets,has_a,advanced,targets,has_a,advanced
532,show options command,has_a,parameters,show options command,has_a,parameters
533,show options command,can_analyze,target,show options command,can_analyze,target
534,set command,has_a,name,set command,has_a,name
535,show options command,has_a,SRVHOST,show options command,has_a,SRVHOST
536,msfconsole,can_analyze,payloads,msfconsole,can_analyze,payloads
537,set command,can_analyze,payload,set command,can_analyze,payload
538,show targets command,can_analyze,operating systems,show targets command,can_analyze,operating systems
539,operating systems,can_expose,vulnerable,operating systems,can_expose,vulnerable
540,command,can_analyze,adobe_flash_shader_drawing_fill exploit,command,can_analyze,adobe_flash_shader_drawing_fill exploit
541,exploit,can_analyze,targets,exploit,can_analyze,targets
542,command set,has_a,target ID,command set,has_a,target ID
543,target,uses,payloads,target,uses,payloads
544,show advanced command,has_a,advanced options,show advanced command,has_a,advanced options
545,set command,has_a,advanced,set command,has_a,advanced
546,IPS,has_a,signatures,IPS,has_a,signatures
547,NOP generators,can_analyze,CPU architecture,NOP generators,can_analyze,CPU architecture
548,exploit,can_analyze,payload,exploit,can_analyze,payload
549,msfconsole,has_a,exploit,msfconsole,has_a,exploit
550,host,has_a,open,host,has_a,open
551,services,has_a,ports,services,has_a,ports
552,username/password,can_analyze,Metasploitable 2,username/password,can_analyze,Metasploitable 2
553,Metasploitable 2,has_a,msfadmin/msfadmin,Metasploitable 2,has_a,msfadmin/msfadmin
554,ifconfig command,can_analyze,IP address,ifconfig command,can_analyze,IP address
555,netdiscover,can_analyze,Kali Linux machine,netdiscover,can_analyze,Kali Linux machine
556,IP addresses,can_analyze,target host,IP addresses,can_analyze,target host
557,open ports,can_analyze,services,open ports,can_analyze,services
558,services,has_a,version,services,has_a,version
559,version,can_analyze,operating system,version,can_analyze,operating system
560,SSH service,has_a,OpenSSH,SSH service,has_a,OpenSSH
561,OpenSSH,can_analyze,telnet service,OpenSSH,can_analyze,telnet service
562,services,can_expose,vulnerabilities,services,can_expose,vulnerabilities
563,users,uses,server,users,uses,server
564,users,uses,network,users,uses,network
565,penetration tester,uses,brute force,penetration tester,uses,brute force
566,enumerate,has_a,user accounts,enumerate,has_a,user accounts
567,user accounts,can_analyze,target machine,user accounts,can_analyze,target machine
568,Rpcclient,can_analyze,Linux,Rpcclient,can_analyze,Linux
569,connection,can_analyze,samba,connection,can_analyze,samba
570,sessions,can_analyze,legacy systems,sessions,can_analyze,legacy systems
571,open port,can_analyze,target host,open port,can_analyze,target host
572,window,has_a,session,window,has_a,session
573,session,can_analyze,Metasploitable 2,session,can_analyze,Metasploitable 2
574,users,uses,system,users,uses,system
575,Enum4linux,can_analyze,Kali Linux,Enum4linux,can_analyze,Kali Linux
576,enumerate,can_analyze,Windows,enumerate,can_analyze,Windows
577,hosts,has_a,Perl,hosts,has_a,Perl
578,wrapper,can_analyze,smbclient,wrapper,can_analyze,smbclient
579,rpcclient,has_a,nmblookup,rpcclient,has_a,nmblookup
580,enum4linux,can_analyze,Metasploitable 2,enum4linux,can_analyze,Metasploitable 2
581,Metasploit,is_part_of,console,Metasploit,is_part_of,console
582,console,can_analyze,information,console,can_analyze,information
583,IP address,can_analyze,Operating System,IP address,can_analyze,Operating System
584,Operating System,has_a,ports,Operating System,has_a,ports
585,opened,can_analyze,vulnerability,opened,can_analyze,vulnerability
586,Metasploit,is_part_of,Nmap,Metasploit,is_part_of,Nmap
587,Nmap,is_part_of,console,Nmap,is_part_of,console
588,output,can_analyze,information,output,can_analyze,information
589,scans,has_a,NSE,scans,has_a,NSE
590,NSE,uses,ARP Ping Scan,NSE,uses,ARP Ping Scan
591,NSE,has_a,post scan scripts,NSE,has_a,post scan scripts
592,post scan scripts,can_analyze,vulnerabilities,post scan scripts,can_analyze,vulnerabilities
593,Nmap,can_analyze,security holes,Nmap,can_analyze,security holes
594,exploits,can_detect,hack,exploits,can_detect,hack
595,hack,can_harm,target,hack,can_harm,target
596,target,has_a,Metasploit,target,has_a,Metasploit
597,Metasploit,has_a,commands,Metasploit,has_a,commands
598,Metasploit,can_detect,backdoor,Metasploit,can_detect,backdoor
599,backdoor,is_part_of,hack,backdoor,is_part_of,hack
600,target,has_a,FTP,target,has_a,FTP
601,command shell,can_detect,backdoor,command shell,can_detect,backdoor
602,ls,can_analyze,targeting system,ls,can_analyze,targeting system
603,Syslog,can_analyze,Linux,Syslog,can_analyze,Linux
604,Linux,uses,file,Linux,uses,file
605,Syslog,can_analyze,System Log,Syslog,can_analyze,System Log
606,detection,can_analyze,issues,detection,can_analyze,issues
607,architecture,has_a,severity,architecture,has_a,severity
608,severity,can_analyze,error,severity,can_analyze,error
609,logs,can_analyze,system messages,logs,can_analyze,system messages
610,syslog,is_part_of,rsyslog,syslog,is_part_of,rsyslog
611,rsyslog,is_part_of,logging system,rsyslog,is_part_of,logging system
612,logging system,can_analyze,system log,logging system,can_analyze,system log
613,syslog,can_analyze,syslogconf,syslog,can_analyze,syslogconf
614,rsyslog,has_a,configures,rsyslog,has_a,configures
615,configures,has_a,/etc/rsyslogd/,configures,has_a,/etc/rsyslogd/
616,/etc/rsyslogd/,can_analyze,folder,/etc/rsyslogd/,can_analyze,folder
617,rule,has_a,fields,rule,has_a,fields
618,selector field,can_analyze,facility,selector field,can_analyze,facility
619,facility,has_a,priority,facility,has_a,priority
620,facility,has_a,auth,facility,has_a,auth
621,cron,is_part_of,daemon,cron,is_part_of,daemon
622,daemon,can_analyze,kern,daemon,can_analyze,kern
623,mail,has_a,mark,mail,has_a,mark
624,auth,is_part_of,syslog,auth,is_part_of,syslog
625,subsystem,uses,message,subsystem,uses,message
626,log,can_analyze,mail,log,can_analyze,mail
627,warn,can_analyze,warning,warn,can_analyze,warning
628,err,can_analyze,error,err,can_analyze,error
629,crit,can_analyze,alert,crit,can_analyze,alert
630,severity,can_analyze,message,severity,can_analyze,message
631,log,has_a,critical,log,has_a,critical
632,critical,can_analyze,Linux machine,critical,can_analyze,Linux machine
633,Linux machine,uses,log file,Linux machine,uses,log file
634,/var/log,can_analyze,criticallog,/var/log,can_analyze,criticallog
635,Log,can_analyze,kernel,Log,can_analyze,kernel
636,kernel,uses,messages,kernel,uses,messages
637,user,uses,terminals,user,uses,terminals
638,firewall,can_analyze,warning,firewall,can_analyze,warning
639,node,uses,syslogd,node,uses,syslogd
640,logged,can_analyze,disk file,logged,can_analyze,disk file
641,Unix/Linux,has_a,domain socket,Unix/Linux,has_a,domain socket
642,domain socket,can_analyze,log messages,domain socket,can_analyze,log messages
643,syslog,can_analyze,standard C library,syslog,can_analyze,standard C library
644,syslog,has_a,port,syslog,has_a,port
645,port,can_analyze,messages,port,can_analyze,messages
646,remote,can_analyze,messages,remote,can_analyze,messages
647,syslogd,uses,error message,syslogd,uses,error message
648,remote host,uses,configuration file,remote host,uses,configuration file
649,Ubuntu,uses,rsyslogd,Ubuntu,uses,rsyslogd
650,configure,can_analyze,syslog,configure,can_analyze,syslog
651,log,can_analyze,iptables,log,can_analyze,iptables
652,iptables,uses,messages,iptables,uses,messages
653,logged,has_a,/var/log/messages,logged,has_a,/var/log/messages
654,rsyslog,can_analyze,errors,rsyslog,can_analyze,errors
655,firewall,can_analyze,logs,firewall,can_analyze,logs
656,print,can_analyze,iptables,print,can_analyze,iptables
657,iptables,uses,logs,iptables,uses,logs
658,monitoring,has_a,console,monitoring,has_a,console
659,logging,can_analyze,kernel,logging,can_analyze,kernel
660,ubuntu distribution,uses,rsyslogd,ubuntu distribution,uses,rsyslogd
661,setup,has_a,rsyslog,setup,has_a,rsyslog
662,rsyslog,has_a,forwarding,rsyslog,has_a,forwarding
663,forwarding,can_analyze,client,forwarding,can_analyze,client
664,syslog,is_part_of,Syslog,syslog,is_part_of,Syslog
665,Syslog,can_analyze,syslogd,Syslog,can_analyze,syslogd
666,Logging,can_analyze,Linux,Logging,can_analyze,Linux
667,Linux,has_a,rsyslog,Linux,has_a,rsyslog
668,rsyslog,is_part_of,syslog,rsyslog,is_part_of,syslog
669,syslog,can_analyze,log,syslog,can_analyze,log
670,facilities,has_a,actions,facilities,has_a,actions
671,Ubuntu system,uses,syslog.conf,Ubuntu system,uses,syslog.conf
672,rsyslog,is_part_of,rsyslog,rsyslog,is_part_of,rsyslog
673,rsyslog,can_analyze,configuration file,rsyslog,can_analyze,configuration file
674,rsyslog,can_analyze,configuration files,rsyslog,can_analyze,configuration files
675,Default,is_part_of,rsyslog,Default,is_part_of,rsyslog
676,rsyslog,has_a,setup configurations,rsyslog,has_a,setup configurations
677,setup configurations,can_analyze,file,setup configurations,can_analyze,file
678,Selectors,can_analyze,Facility,Selectors,can_analyze,Facility
679,Facility,has_a,Severity Levels,Facility,has_a,Severity Levels
680,/var/log/,can_analyze,Linux,/var/log/,can_analyze,Linux
681,location,uses,log files,location,uses,log files
682,kernel,uses,logs,kernel,uses,logs
683,/var/log,can_analyze,files,/var/log,can_analyze,files
684,vendors,uses,application,vendors,uses,application
685,machines,uses,logs,machines,uses,logs
686,machine,uses,authlog,machine,uses,authlog
687,client,uses,logs,client,uses,logs
688,rsyslog,can_analyze,machine,rsyslog,can_analyze,machine
689,configured,can_analyze,client-server,configured,can_analyze,client-server
690,client-server,has_a,syslog,client-server,has_a,syslog
691,syslog,can_analyze,instances,syslog,can_analyze,instances
692,rsyslog,can_analyze,client,rsyslog,can_analyze,client
693,client,has_a,forward,client,has_a,forward
694,forward,can_analyze,log,forward,can_analyze,log
695,transmitted,can_analyze,log data,transmitted,can_analyze,log data
696,module,can_analyze,network,module,can_analyze,network
697,network,has_a,down,network,has_a,down
698,Access,can_analyze,logs,Access,can_analyze,logs
699,access privilege,can_analyze,machines,access privilege,can_analyze,machines
700,architecture,uses,logs,architecture,uses,logs
701,machine,uses,log data,machine,uses,log data
702,centralized system,has_a,single-point failure,centralized system,has_a,single-point failure
703,log server,uses,logs,log server,uses,logs
704,clients,uses,messages,clients,uses,messages
705,locally,can_analyze,server,locally,can_analyze,server
706,syslog,can_analyze,Ubuntu,syslog,can_analyze,Ubuntu
707,configure,can_analyze,rsyslog server,configure,can_analyze,rsyslog server
708,rsyslog server,uses,logs,rsyslog server,uses,logs
709,templates,can_analyze,files,templates,can_analyze,files
710,facility,has_a,severity,facility,has_a,severity
711,severity,can_analyze,remote server,severity,can_analyze,remote server
712,remote server,has_a,template,remote server,has_a,template
713,rsyslog,has_a,path,rsyslog,has_a,path
714,path,can_analyze,data,path,can_analyze,data
715,computer name,can_analyze,log,computer name,can_analyze,log
716,syslog,can_analyze,facility,syslog,can_analyze,facility
717,restart,can_analyze,rsyslog server,restart,can_analyze,rsyslog server
718,rsyslog server,has_a,listening,rsyslog server,has_a,listening
719,server,uses,logs,server,uses,logs
720,hostname,can_analyze,host,hostname,can_analyze,host
721,Restart,can_analyze,rsyslog server,Restart,can_analyze,rsyslog server
722,rsyslog server,uses,errors,rsyslog server,uses,errors
723,server side,uses,folder,server side,uses,folder
724,client,has_a,hostname,client,has_a,hostname
725,hostname,can_analyze,ubuntu,hostname,can_analyze,ubuntu
726,syslog,has_a,log,syslog,has_a,log
727,logged,can_analyze,remote server,logged,can_analyze,remote server
728,log-level,can_analyze,warning,log-level,can_analyze,warning
